レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率,締切予定時刻,今節成績_1-1,今節成績_1-2,今節成績_2-1,今節成績_2-2,今節成績_3-1,今節成績_3-2,今節成績_4-1,今節成績_4-2,今節成績_5-1,今節成績_5-2,今節成績_6-1,今節成績_6-2,2着が1号艇,2着が2号艇,2着が3号艇,2着が4号艇,2着が5号艇,2着が6号艇,当該コース1着合計
芦屋,01R,1,4886.0,入海馨,岡山,A1,6.02,7.0,0.78,45,0.07,4,0.03,2,0.14,2.8,0.13,3.6,0.03,2,0.1,6,0.03,2.0,2.8,-,隠F,0.364,0.205,C,3,3,0.37,0.10,10:40,6,6,4,,3,3,,,,,,,-,17,10,11,3,4,45.0
芦屋,01R,2,4719.0,上條暢嵩,大阪,A1,7.31,6.83,0.26,15,0.39,22,0.18,10,0.13,3.2,0.12,3.0,0.11,7,0.11,7,0.0,,4.0,A,,0.328,0.328,B,4,4,0.12,0.10,10:40,2,1,5,,2,,,,,,,,8,-,4,2,0,1,15.0
芦屋,01R,3,4030.0,森高一真,香川,A1,6.8,6.73,0.17,9,0.17,9,0.20,11,0.15,3.5,0.09,2.7,0.0,0,0.02,1,0.11,6.0,2.7,B+,,0.433,0.2,C,3,4,0.11,0.13,10:40,4,,5,,2,3,,,,,,,8,0,-,0,0,0,8.0
芦屋,01R,4,4344.0,新田雄史,三重,A1,7.62,7.1,0.22,11,0.24,12,0.24,12,0.15,3.1,0.1,4.0,0.04,2,0.04,2,0.06,3.0,4.0,A,,0.377,0.264,C,4,3,0.29,0.12,10:40,2,1,6,,3,,,,,,,,4,1,1,-,3,0,9.0
芦屋,01R,5,3854.0,吉川元浩,兵庫,A1,6.76,0.0,0.07,3,0.22,10,0.11,5,0.14,2.9,0.12,3.5,0.0,0,0.02,1,0.05,3.0,2.6,C,,0.341,0.171,D,2,3,0.22,0.06,10:40,,,,,,,,,,,,,3,1,1,0,-,0,5.0
芦屋,01R,6,4168.0,石野貴之,大阪,A1,6.92,5.72,0.06,3,0.06,3,0.29,14,0.16,3.9,0.1,4.0,0.0,0,0.0,0,0.0,0.0,4.0,A,,0.418,0.291,A,5,4,0.17,0.33,10:40,5,,3,2,1,,,,,,,,0,0,0,0,0,-,0.0
芦屋,02R,1,4539.0,金子賢志,群馬,A1,6.61,6.06,0.70,48,0.16,11,0.07,5,0.13,2.1,0.1,3.0,0.11,8,0.03,2,0.13,9.0,3.2,C,,0.378,0.311,D,2,3,0.51,0.04,11:09,6,,5,,6,5,,,,,,,-,17,16,9,4,2,48.0
芦屋,02R,2,5084.0,末永和也,佐賀,A1,7.21,7.29,0.24,11,0.24,11,0.13,6,0.13,3.1,0.14,4.5,0.19,9,0.02,1,0.0,,3.4,B+,未消化,0.375,0.297,D,3,2,0.13,0.04,11:09,2,6,6,,5,,,,,,,,5,-,2,2,1,0,10.0
芦屋,02R,3,4851.0,関浩哉,群馬,A1,7.66,5.33,0.24,12,0.24,12,0.14,7,0.15,3.2,0.15,2.7,0.0,0,0.11,6,0.08,4.0,3.0,B+,,0.553,0.158,C,4,3,0.13,0.08,11:09,3,3,4,,5,,,,,,,,5,3,-,4,0,1,13.0
芦屋,02R,4,3388.0,今垣光太郎,福井,A1,6.81,6.45,0.30,13,0.16,7,0.19,8,0.15,3.0,0.16,4.0,0.0,0,0.09,5,0.14,8.0,3.4,C,隠F+F,0.486,0.216,C,3,4,0.29,0.09,11:09,2,,5,,2,6,,,,,,,8,0,1,-,2,2,13.0
