レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率,締切予定時刻
大村,01R,1,3775,泉啓文,岡山,B1,4.42,3.69,0.31,12,0.36,14,0.15,6,0.16,3.1,0.16,3.5,0.31,12,0.05,2,0.18,7,3,-,F,0.5,0.167,#N/A!,#N/A!,#N/A!,0.22,0.09,17:41
大村,01R,2,3265,今村暢孝,福岡,A1,5.97,6.35,0.08,4,0.25,13,0.21,11,0.15,2.9,0.17,3.6,0.08,14,0.05,9,0.00,,2,-,F,0.312,0.344,#N/A!,#N/A!,#N/A!,0.24,0.04,17:41
大村,01R,3,4259,真庭明志,長崎,A2,5.57,6.14,0.07,4,0.32,18,0.23,13,0.14,3.0,0.14,3.2,0.02,1,0.04,2,0.04,2,3,-,,0.293,0.317,#N/A!,#N/A!,#N/A!,0.11,0.07,17:41
大村,01R,4,3619,長谷川充,群馬,B1,4.93,0.00,0.05,2,0.14,6,0.25,11,0.18,4.5,0.15,4.2,0.00,0,0.00,0,0.05,2,4,-,,0.3,0.25,#N/A!,#N/A!,#N/A!,0.03,0.27,17:41
大村,01R,5,4232,笠雅雄,福岡,B1,5.32,0.00,0.05,2,0.13,5,0.13,5,0.18,3.6,0.12,2.8,0.00,0,0.02,1,0.02,1,3,-,,0.143,0.429,#N/A!,#N/A!,#N/A!,0.11,0.14,17:41
大村,01R,6,5236,小宮涼雅,広島,B1,3.85,2.42,0.00,0,0.03,2,0.17,12,0.21,4.7,0.25,3.5,0.00,0,0.00,0,0.00,0,3,-,,0,0,#N/A!,#N/A!,#N/A!,0.04,0.35,17:41
大村,02R,1,4889,後藤盛也,東京,B1,5.34,6.12,0.64,30,0.13,6,0.04,2,0.14,2.9,0.13,2.8,0.16,7,0.09,4,0.11,5,4,-,未消化F,0.345,0.172,#N/A!,#N/A!,#N/A!,0.41,0.12,18:08
大村,02R,2,3562,山下和彦,広島,A2,5.84,4.77,0.13,8,0.34,22,0.22,14,0.18,3.6,0.14,1.7,0.05,3,0.05,3,0.00,,3,-,,0.359,0.333,#N/A!,#N/A!,#N/A!,0.11,0.16,18:08
大村,02R,3,3703,鳥飼眞,福岡,A2,5.88,5.43,0.16,8,0.24,12,0.18,9,0.18,3.5,0.23,4.4,0.00,0,0.07,4,0.06,3,3,-,,0.361,0.278,#N/A!,#N/A!,#N/A!,0.21,0.17,18:08
大村,02R,4,3294,野中義生,静岡,B1,4.18,3.59,0.12,4,0.09,3,0.18,6,0.14,2.9,0.15,3.0,0.03,1,0.03,1,0.03,1,4,-,F,0.444,0.111,#N/A!,#N/A!,#N/A!,0.29,0.07,18:08
大村,02R,5,3906,飯山晃三,長崎,B1,4.17,4.28,0.04,2,0.16,9,0.13,7,0.20,4.4,0.24,4.2,0.02,1,0.00,0,0.02,1,3,-,,0.077,0.538,#N/A!,#N/A!,#N/A!,0.00,0.25,18:08
大村,02R,6,3584,佐々木英樹,広島,B1,5.03,4.71,0.00,0,0.09,3,0.21,7,0.20,4.2,0.18,3.2,0.00,0,0.00,0,0.00,0,4,-,,0.25,0.125,#N/A!,#N/A!,#N/A!,0.04,0.20,18:08
大村,03R,1,3912,川原正明,福井,A2,5.26,5.43,0.70,39,0.16,9,0.04,2,0.14,2.3,0.14,2.8,0.11,6,0.09,5,0.09,5,5,-,F,0.25,0.25,#N/A!,#N/A!,#N/A!,0.51,0.04,18:34
大村,03R,2,4633,森智也,兵庫,A2,5.79,4.91,0.15,6,0.20,8,0.24,10,0.15,3.4,0.16,3.4,0.08,3,0.00,0,0.00,,3,-,,0.462,0.231,#N/A!,#N/A!,#N/A!,0.09,0.06,18:34
大村,03R,3,4580,長谷川雅和,岡山,B1,5.25,5.29,0.18,9,0.18,9,0.18,9,0.17,3.5,0.12,3.0,0.02,1,0.08,4,0.04,2,4,-,未消化F,0.3,0.275,#N/A!,#N/A!,#N/A!,0.13,0.16,18:34
