レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率
福岡,01R,1,3388,今垣光太郎,福井,A1,7.26,7.44,0.75,38,0.10,5,0.10,5,0.14,3.4,0.16,3.5,0.08,4,0.08,4,0.08,4,3,C,,,,B,4,4,0.22,0.15
福岡,01R,2,4459,片岡雅裕,香川,A1,6.28,6.28,0.14,8,0.30,17,0.14,8,0.13,2.9,0.16,3.0,0.08,4,0.04,2,0.00,,2,-,,,,D,2,2,0.26,0.12
福岡,01R,3,4831,羽野直也,福岡,A1,6.98,7.05,0.28,10,0.19,7,0.17,6,0.13,2.5,0.16,4.2,0.03,1,0.00,0,0.26,9,3,A+,F,,,C,4,2,0.37,0.07
福岡,01R,4,4961,西橋奈未,福井,A1,6.03,7.11,0.16,7,0.23,10,0.11,5,0.17,3.5,0.16,4.2,0.07,3,0.02,1,0.05,2,4,C,,,,C,4,3,0.18,0.18
福岡,01R,5,5051,松本純平,埼玉,A1,6.51,7.26,0.11,6,0.22,12,0.24,13,0.17,3.6,0.13,3.7,0.06,3,0.00,0,0.06,3,2,B+,,,,C,4,3,0.14,0.07
福岡,01R,6,4824,松井洪弥,三重,A1,6.25,6.55,0.07,4,0.00,0,0.20,11,0.16,3.9,0.14,4.0,0.02,1,0.00,0,0.02,1,2,-,,,,C,3,3,0.13,0.23
福岡,02R,1,5018,竹下大樹,福岡,A1,6.24,5.97,0.75,63,0.17,14,0.05,4,0.14,2.6,0.12,3.7,0.05,4,0.07,6,0.10,8,4,B+,,,,C,4,3,0.35,0.06
福岡,02R,2,4590,渡邉優美,福岡,A1,6.23,6.63,0.30,17,0.29,16,0.21,12,0.15,3.5,0.12,2.2,0.20,11,0.09,5,0.00,,4,B+,,,,B,4,4,0.00,0.11
福岡,02R,3,4932,新開航,福岡,A1,7.47,7.36,0.26,11,0.24,10,0.21,9,0.13,3.1,0.17,4.0,0.02,1,0.12,5,0.07,3,3,A,,,,C,4,3,0.15,0.09
福岡,02R,4,4798,浜先真範,広島,A1,6.48,6.29,0.10,5,0.27,14,0.24,12,0.13,2.5,0.14,3.0,0.00,0,0.02,1,0.06,3,3,C,,,,C,3,3,0.28,0.08
福岡,02R,5,4586,磯部誠,愛知,A1,7.08,7.27,0.16,7,0.23,10,0.12,5,0.14,3.1,0.09,2.0,0.02,1,0.02,1,0.07,3,3,B+,,,,C,3,4,0.32,0.14
福岡,02R,6,4500,山田康二,佐賀,A1,7.16,7.54,0.09,4,0.15,7,0.19,9,0.16,4.2,0.15,3.4,0.00,0,0.03,1,0.03,1,4,B+,,,,C,4,2,0.07,0.26
